DATE_TIME,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,HOUR
2020-05-15 00:00:00,0.0,0.0,0.0,6837222.666666667,25.184316133333333,22.8575074,0.0,0
2020-05-15 00:15:00,0.0,0.0,0.0,6837222.666666667,25.08458866666667,22.761667866666663,0.0,0
2020-05-15 00:30:00,0.0,0.0,0.0,6837222.666666667,24.935752600000004,22.59230553333333,0.0,0
2020-05-15 00:45:00,0.0,0.0,0.0,6837222.666666667,24.8461304,22.36085213333333,0.0,0
2020-05-15 01:00:00,0.0,0.0,0.0,6852801.909090909,24.621525357142858,22.165422642857145,0.0,1
2020-05-15 01:15:00,0.0,0.0,0.0,6837222.666666667,24.5360922,21.968570866666667,0.0,1
2020-05-15 01:30:00,0.0,0.0,0.0,6837222.666666667,24.638673866666664,22.352925666666668,0.0,1
2020-05-15 01:45:00,0.0,0.0,0.0,6852801.909090909,24.87302233333333,23.1609192,0.0,1
2020-05-15 02:00:00,0.0,0.0,0.0,6837222.666666667,24.936930466666663,23.026113,0.0,2
2020-05-15 02:15:00,0.0,0.0,0.0,6837222.666666667,25.0122476,23.343229266666665,0.0,2
2020-05-15 02:30:00,0.0,0.0,0.0,6837222.666666667,25.005149333333332,23.639459266666663,0.0,2
2020-05-15 02:45:00,0.0,0.0,0.0,6837222.666666667,24.993019533333328,24.0394858,0.0,2
2020-05-15 03:00:00,0.0,0.0,0.0,6837222.666666667,25.016309428571425,24.384135571428573,0.0,3
2020-05-15 03:15:00,0.0,0.0,0.0,6837222.666666667,24.985215266666664,24.35150773333333,0.0,3
2020-05-15 03:30:00,0.0,0.0,0.0,6837222.666666667,24.93773193333333,24.060296533333336,0.0,3
2020-05-15 03:45:00,0.0,0.0,0.0,6837222.666666667,24.87909953333333,23.709794133333336,0.0,3
2020-05-15 04:00:00,0.0,0.0,0.0,6837222.666666667,24.6789022,22.58994153333333,0.0,4
2020-05-15 04:15:00,0.0,0.0,0.0,6852801.909090909,24.3519308,21.78364253333333,0.0,4
2020-05-15 04:30:00,0.0,0.0,0.0,6852801.909090909,24.0626222,21.85252493333333,0.0,4
2020-05-15 04:45:00,0.0,0.0,0.0,6852801.909090909,24.013224200000003,22.306315,0.0,4
2020-05-15 05:00:00,0.0,0.0,0.0,6852801.909090909,24.1771058,22.551908466666664,0.0,5
2020-05-15 05:15:00,0.0,0.0,0.0,6837222.666666667,24.304888,22.979492071428577,0.0,5
2020-05-15 05:30:00,0.0,0.0,0.0,6837222.666666667,24.328727266666665,23.452380466666668,0.0,5
2020-05-15 05:45:00,0.0,0.0,0.0,6837222.666666667,24.28921113333333,23.09669193333333,0.0008627212413333,5
2020-05-15 06:00:00,942.14880953,90.929166668,0.0,6837222.666666667,24.088446066666663,22.2067566,0.0058869571866666,6
2020-05-15 06:15:00,6142.1011903,593.33869048,2.917233560095238,6837225.608857144,24.01163526666667,22.35345866666667,0.0222816074666666,6
2020-05-15 06:30:00,15271.1547618,1480.19464286,14.751352813772728,6852816.6036363635,23.976731266666665,22.893282,0.0494097238666666,6
2020-05-15 06:45:00,28626.589287,2790.4482143,37.250270562272725,6852839.047227273,24.21899,24.442443933333333,0.0953944536,6
