DATE_TIME,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,HOUR,MINUTE,DAY_OF_WEEK,MONTH,DAY_OF_YEAR,HOUR_SIN,HOUR_COS,IRR_TEMP_RATIO,TEMP_DELTA,DC_POWER_LAG1,DC_POWER_LAG2,IRR_LAG1
2020-05-15 06:15:00,6142.1011903,593.33869048,2.917233560095238,6837225.608857144,24.01163526666667,22.35345866666667,0.0222816074666666,6,15,4,5,136,1.0,6.123233995736766e-17,0.0009541031067261157,-1.6581766000000009,942.14880953,0.0,0.0058869571866666
2020-05-15 06:30:00,15271.1547618,1480.19464286,14.751352813772728,6852816.603636364,23.976731266666665,22.893282,0.0494097238666666,6,30,4,5,136,1.0,6.123233995736766e-17,0.0020679337341210223,-1.0834492666666655,6142.1011903,942.14880953,0.0222816074666666
2020-05-15 06:45:00,28626.589287,2790.4482143,37.250270562272725,6852839.047227273,24.21899,24.442443933333333,0.0953944536,6,45,4,5,136,1.0,6.123233995736766e-17,0.003749421787072085,0.22345393333333163,15271.1547618,6142.1011903,0.0494097238666666
2020-05-15 07:00:00,41345.914287,4052.6621429,78.07954545409092,6852879.871727273,24.5373984,27.185652866666665,0.1419404433333333,7,0,4,5,136,0.9659258262890683,-0.25881904510252063,0.0050359111426223875,2.648254466666664,28626.589287,15271.1547618,0.0953944536
2020-05-15 07:15:00,44564.20833,4368.7226191,125.08982683636364,6852927.492818182,24.8159595,28.888477857142853,0.1547126757142856,7,15,4,5,136,0.9659258262890683,-0.25881904510252063,0.005176331710626468,4.072518357142851,41345.914287,28626.589287,0.1419404433333333
2020-05-15 07:30:00,43619.291666,4275.935119,175.0170454590909,6852976.929363637,24.988789866666668,29.6056438,0.1487991533333333,7,30,4,5,136,0.9659258262890683,-0.25881904510252063,0.0048618207251478664,4.616853933333331,44564.20833,41345.914287,0.1547126757142856
2020-05-15 07:45:00,44395.892857,4352.0946427,222.20129870454545,6853024.220727273,25.21618033333333,29.547110933333336,0.1447934189333333,7,45,4,5,136,0.9659258262890683,-0.25881904510252063,0.004740003702783335,4.330930600000006,43619.291666,44564.20833,0.1487991533333333
2020-05-15 08:00:00,64834.803572,6365.6089285,280.0373376681818,6853081.751545455,25.41951306666667,31.412544733333327,0.2016386213333333,8,0,4,5,136,0.8660254037844387,-0.4999999999999998,0.00622100557028978,5.993031666666656,44395.892857,43619.291666,0.1447934189333333
2020-05-15 08:15:00,101937.157142,10002.0646429,374.05487013181823,6853175.943181818,25.95908213333333,35.5287108,0.3457076533333333,8,15,4,5,136,0.8660254037844387,-0.4999999999999998,0.009463998202020677,9.56962866666667,64834.803572,44395.892857,0.2016386213333333
2020-05-15 08:30:00,112129.565473,10995.6029761,498.6358225136364,6853300.587318182,26.430782066666666,40.3180586,0.4053485726666666,8,30,4,5,136,0.8660254037844387,-0.4999999999999998,0.009810445756680991,13.887276533333335,101937.157142,64834.803572,0.3457076533333333
2020-05-15 08:45:00,92505.464285,9080.0678571,603.1599026,6853404.890454546,26.8318298,39.08195373333332,0.3124267953333332,8,45,4,5,136,0.8660254037844387,-0.4999999999999998,0.007794699764685121,12.25012393333332,112129.565473,101937.157142,0.4053485726666666
2020-05-15 09:00:00,165598.892858,16211.35,754.2353896090909,6853555.599045455,27.6209698,45.0092326,0.6231526486666666,9,0,4,5,136,0.7071067811865476,-0.7071067811865475,0.013544078295856356,17.388262799999996,92505.464285,112129.565473,0.3124267953333332
2020-05-15 09:15:00,98826.017857,9692.832143,908.2264610363636,6853710.004363636,27.98836207142857,46.6177065,0.3448840357142857,9,15,4,5,136,0.7071067811865476,-0.7071067811865475,0.0072427687317171766,18.62934442857143,165598.892858,92505.464285,0.6231526486666666
2020-05-15 09:30:00,76522.24999899999,7511.4000001,994.9496753045456,6853797.353909091,27.516727866666667,39.136326,0.2492484,9,30,4,5,136,0.7071067811865476,-0.7071067811865475,0.006210045234334603,11.61959813333333,98826.017857,165598.892858,0.3448840357142857
2020-05-15 09:45:00,161370.035715,15793.1124999,1115.1536796545454,6853916.853909091,27.450107666666668,40.93057693333333,0.5412059773333334,9,45,4,5,136,0.7071067811865476,-0.7071067811865475,0.012907191288920563,13.48046926666666,76522.24999899999,98826.017857,0.2492484
